Target,Model,R2,RMSE
weightloss,LinearRegression,0.9994,0.0343
weightloss,RandomForest,0.9935,0.1171
weightloss,SVR,0.9956,0.0957
weightloss,KNN,0.5869,0.9323
weightloss,GradientBoosting,0.9265,0.3933
ciel,LinearRegression,0.7761,0.6472
ciel,RandomForest,0.8835,0.4668
ciel,SVR,0.7314,0.7089
ciel,KNN,0.705,0.7429
ciel,GradientBoosting,0.5605,0.9067
ciea,LinearRegression,0.9909,0.2862
ciea,RandomForest,0.9685,0.5316
ciea,SVR,0.9904,0.2933
ciea,KNN,0.6332,1.8156
ciea,GradientBoosting,0.9065,0.9164
cieb,LinearRegression,0.9579,0.2029
cieb,RandomForest,0.9662,0.1819
cieb,SVR,0.9746,0.1578
cieb,KNN,0.4913,0.7057
cieb,GradientBoosting,0.934,0.2542
