Mode,Model,Feature,Importance
RGB,RandomForest,r_mean,0.2463
RGB,RandomForest,g_mean,0.268
RGB,RandomForest,b_mean,0.2366
RGB,RandomForest,storageperiod,0.2491
RGB,GradientBoosting,r_mean,0.5148
RGB,GradientBoosting,g_mean,0.2626
RGB,GradientBoosting,b_mean,0.0425
RGB,GradientBoosting,storageperiod,0.18
Diff,RandomForest,delta_r_diff,0.092
Diff,RandomForest,delta_g_diff,0.0864
Diff,RandomForest,delta_b_diff,0.0778
Diff,RandomForest,storageperiod,0.7438
Diff,GradientBoosting,delta_r_diff,0.0508
Diff,GradientBoosting,delta_g_diff,0.0394
Diff,GradientBoosting,delta_b_diff,0.0212
Diff,GradientBoosting,storageperiod,0.8887
Total,RandomForest,delta_r_total,0.2463
Total,RandomForest,delta_g_total,0.268
Total,RandomForest,delta_b_total,0.2366
Total,RandomForest,storageperiod,0.2491
Total,GradientBoosting,delta_r_total,0.5148
Total,GradientBoosting,delta_g_total,0.2626
Total,GradientBoosting,delta_b_total,0.0425
Total,GradientBoosting,storageperiod,0.18
